deck_label_order,pearson_r
CEDGFABT,0.0364
GCTEFBAD,-0.0340
DCBTGAFE,-0.1559
FEDATCBG,0.1357
CBDGAFET,-0.1919
ETGFABCD,0.1259
BAECDFGT,-0.0860
FTGDBCEA,0.0600
TGECDBAF,-0.0302
CGAFDBTE,-0.0760
